region,rank,division,summonerName,win,lose,winRatio
ru,GRANDMASTER,-,СВЕКЛОВИЧНЫЙ ЖОМ,214,190,0.5297
ru,GRANDMASTER,-,KrasEg,164,126,0.5655
ru,GRANDMASTER,-,2 22 P M,370,330,0.5286
ru,GRANDMASTER,-,Łéønardø,251,237,0.5143
ru,GRANDMASTER,-,Tratatata chpoke,155,138,0.529
ru,GRANDMASTER,-,Exeria,259,220,0.5407
ru,GRANDMASTER,-,TwTV XioShio94,71,49,0.5917
ru,GRANDMASTER,-,THELASTRONIN AL,77,40,0.6581
ru,GRANDMASTER,-,Kill,37,33,0.5286
ru,GRANDMASTER,-,hunty mommy,282,248,0.5321
ru,GRANDMASTER,-,Rawcore,710,651,0.5217
ru,GRANDMASTER,-,HarleyyQuinn,555,514,0.5192
ru,GRANDMASTER,-,OTP kata ,290,250,0.537
ru,GRANDMASTER,-,Hardstuck musor,95,77,0.5523
ru,GRANDMASTER,-,Skizzplz,114,95,0.5455
ru,GRANDMASTER,-,kienandlucaabusa,141,110,0.5618
ru,GRANDMASTER,-,1711,177,170,0.5101
ru,GRANDMASTER,-,Poyalko,68,52,0.5667
ru,GRANDMASTER,-,Metalonot,210,190,0.525
ru,GRANDMASTER,-,SnJake,234,223,0.512
ru,GRANDMASTER,-,15 12 17,514,494,0.5099
ru,GRANDMASTER,-,BlinovskyReborn,1093,1058,0.5081
ru,GRANDMASTER,-,Madnessn1,157,147,0.5164
ru,GRANDMASTER,-,Рудэус Болотный,73,56,0.5659
ru,GRANDMASTER,-,МяуМяуВсемПривяу,164,129,0.5597
ru,GRANDMASTER,-,RUS2Wolfy,242,197,0.5513
ru,GRANDMASTER,-,Isnurgencys,107,89,0.5459
ru,GRANDMASTER,-,Himeera,78,64,0.5493
ru,GRANDMASTER,-,Мда1123,116,87,0.5714
ru,GRANDMASTER,-,Peaky sênd nüdes,60,49,0.5505
ru,GRANDMASTER,-,Sterben9,286,226,0.5586
ru,GRANDMASTER,-,fight at crab,62,40,0.6078
ru,GRANDMASTER,-,Fizz2Chall,203,153,0.5702
ru,GRANDMASTER,-,BUŁLET1,305,275,0.5259
ru,GRANDMASTER,-,dаewoo matiz,239,225,0.5151
ru,GRANDMASTER,-,BigMuffin3,241,200,0.5465
ru,GRANDMASTER,-,global warming ,43,31,0.5811
ru,GRANDMASTER,-,Treyz,163,109,0.5993
ru,GRANDMASTER,-,suzy43,60,45,0.5714
ru,GRANDMASTER,-,Khtari Minnesota,346,301,0.5348
ru,GRANDMASTER,-,Kasaroz,175,135,0.5645
ru,GRANDMASTER,-,moondolf,112,87,0.5628
ru,GRANDMASTER,-,VALERONGIDROPON,425,382,0.5266
ru,GRANDMASTER,-,Dodyrchik,424,411,0.5078
ru,GRANDMASTER,-,elo monster,92,60,0.6053
ru,GRANDMASTER,-,gøvnø  igra,174,136,0.5613
ru,GRANDMASTER,-,Kenny Toss,127,96,0.5695
ru,GRANDMASTER,-,Skaði,230,231,0.4989
ru,GRANDMASTER,-,vanyushaaa,66,43,0.6055
ru,GRANDMASTER,-,TTV HTMimp,138,126,0.5227
ru,GRANDMASTER,-,TripleASS Ghoul,747,701,0.5159
ru,GRANDMASTER,-,Реасе Dose ,62,64,0.4921
ru,GRANDMASTER,-,burden boy,169,140,0.5469
ru,GRANDMASTER,-,Astrolog Fedor,492,454,0.5201
ru,GRANDMASTER,-,ESHKEREEEEEEEEEE,220,198,0.5263
ru,GRANDMASTER,-,Awilo,101,74,0.5771
ru,GRANDMASTER,-,Cornucopia,80,61,0.5674
ru,GRANDMASTER,-,Пøнтий Пилaт,524,498,0.5127
ru,GRANDMASTER,-,RikZyy,269,239,0.5295
ru,GRANDMASTER,-,Copy Ninja,516,488,0.5139
ru,GRANDMASTER,-,SharinganKarthus,227,173,0.5675
ru,GRANDMASTER,-,red oceán,86,56,0.6056
ru,GRANDMASTER,-,CD SurokK DC,216,205,0.5131
ru,GRANDMASTER,-,MrTеa,418,388,0.5186
ru,GRANDMASTER,-,yYWnaMRcUY4sfy26,86,53,0.6187
ru,GRANDMASTER,-,Hìde on bush,238,201,0.5421
ru,GRANDMASTER,-,Fisik,358,329,0.5211
ru,GRANDMASTER,-,Black Agate,129,106,0.5489
ru,GRANDMASTER,-,Smerelk,436,402,0.5203
ru,GRANDMASTER,-,Draven i balanse,152,104,0.5938
ru,GRANDMASTER,-,yurameister,167,134,0.5548
ru,MASTER,-,Rubwik01,185,188,0.496
ru,MASTER,-,Shi hi teo,93,65,0.5886
